interaction_id,customer_id,interaction_date,channel,resolution_status,agent_id,interaction_duration_minutes,follow_up_required
INT_000001,CUST_0103,2024-11-02 21:17:07.688006,Email,Resolved,AGENT_07,8.854331214578169,True
INT_000002,CUST_0459,2025-07-21 21:17:07.688006,Email,Resolved,AGENT_03,0.3119896199870793,False
INT_000003,CUST_0492,2024-12-27 21:17:07.688006,Email,Pending,AGENT_01,5.4413059419071566,False
INT_000004,CUST_0748,2024-11-06 21:17:07.688006,Email,Resolved,AGENT_10,0.7168441689565762,False
INT_000005,CUST_0783,2025-04-10 21:17:07.688006,Email,Resolved,AGENT_12,10.830437325496916,False
INT_000006,CUST_0131,2024-12-14 21:17:07.688006,Chat,Resolved,AGENT_18,44.60531690260396,False
INT_000007,CUST_0242,2025-01-25 21:17:07.688006,Email,Resolved,AGENT_15,17.245277107319016,False
INT_000008,CUST_0776,2025-09-12 21:17:07.688006,Phone,Resolved,AGENT_08,21.119599525311177,False
INT_000009,CUST_0566,2025-07-03 21:17:07.688006,Chat,Resolved,AGENT_18,22.383680657072112,False
INT_000010,CUST_0958,2025-01-20 21:17:07.688006,Chat,Resolved,AGENT_14,3.272020419469012,True
INT_000011,CUST_0296,2025-03-18 21:17:07.688006,Email,Resolved,AGENT_13,2.278472217309433,False
INT_000012,CUST_0065,2024-11-06 21:17:07.688006,Phone,Resolved,AGENT_12,5.211230087406887,True
INT_000013,CUST_0499,2025-07-28 21:17:07.688006,Chat,Resolved,AGENT_05,39.116465999771144,False
INT_000014,CUST_0028,2025-06-04 21:17:07.688006,Phone,Resolved,AGENT_01,0.9850209870717433,False
INT_000015,CUST_0728,2024-12-28 21:17:07.688006,Chat,Resolved,AGENT_03,9.585992000644646,True
INT_000016,CUST_0462,2025-06-08 21:17:07.688006,Chat,Resolved,AGENT_14,10.212220972654169,False
INT_000017,CUST_0015,2024-11-05 21:17:07.688006,Email,Resolved,AGENT_07,9.67593678248066,False
INT_000018,CUST_0900,2025-03-09 21:17:07.688006,Email,Resolved,AGENT_15,21.13123721307875,False
INT_000019,CUST_0160,2024-11-24 21:17:07.688006,Email,Resolved,AGENT_02,14.686622948542263,False
INT_000020,CUST_0646,2025-01-06 21:17:07.688006,Phone,Resolved,AGENT_11,5.881090789994557,True
INT_000021,CUST_0473,2025-02-28 21:17:07.688006,Phone,Resolved,AGENT_20,6.521142493379548,False
INT_000022,CUST_0710,2025-06-02 21:17:07.688006,Chat,Resolved,AGENT_10,6.178628697936487,False
INT_000023,CUST_0374,2025-05-10 21:17:07.688006,Chat,Resolved,AGENT_17,1.0064026889968414,False
INT_000024,CUST_0268,2024-12-26 21:17:07.688006,Chat,Resolved,AGENT_17,91.38907668237671,False
INT_000025,CUST_0002,2025-06-09 21:17:07.688006,Chat,Resolved,AGENT_01,15.091235472542664,False
INT_000026,CUST_0053,2025-04-28 21:17:07.688006,Chat,Resolved,AGENT_04,1.2646435197361916,False
INT_000027,CUST_0401,2025-02-04 21:17:07.688006,Phone,Resolved,AGENT_02,15.057567407064575,False
INT_000028,CUST_0752,2025-05-26 21:17:07.688006,Phone,Resolved,AGENT_06,17.85167999921175,False
INT_000029,CUST_0764,2024-11-05 21:17:07.688006,Chat,Resolved,AGENT_07,2.8740633380870064,False
INT_000030,CUST_0640,2025-09-08 21:17:07.688006,Phone,Resolved,AGENT_18,38.792855957260855,False
INT_000031,CUST_0611,2025-01-27 21:17:07.688006,Chat,Escalated,AGENT_20,11.31419115290919,False
INT_000032,CUST_0304,2025-02-05 21:17:07.688006,Phone,Escalated,AGENT_09,4.904065927150741,False
INT_000033,CUST_0208,2025-06-08 21:17:07.688006,Phone,Resolved,AGENT_01,15.409660403515575,True
INT_000034,CUST_0968,2025-07-05 21:17:07.688006,Chat,Resolved,AGENT_03,54.552183839538344,False
INT_000035,CUST_0878,2024-11-13 21:17:07.688006,Chat,Resolved,AGENT_09,2.9024106062491195,True
INT_000036,CUST_0398,2025-01-13 21:17:07.688006,Email,Resolved,AGENT_08,28.379341161951015,False
INT_000037,CUST_0033,2025-04-24 21:17:07.688006,Email,Resolved,AGENT_14,13.369247444067721,False
INT_000038,CUST_0563,2025-01-26 21:17:07.688006,Chat,Resolved,AGENT_01,12.902338539623775,False
INT_000039,CUST_0453,2024-12-04 21:17:07.688006,Chat,Resolved,AGENT_17,0.6687448065822947,False
INT_000040,CUST_0158,2025-09-01 21:17:07.688006,Phone,Resolved,AGENT_09,45.88706260423661,False
INT_000041,CUST_0302,2025-04-19 21:17:07.688006,Chat,Pending,AGENT_20,5.231641022582404,False
INT_000042,CUST_0983,2025-05-09 21:17:07.688006,Email,Resolved,AGENT_10,41.26940206210563,False
INT_000043,CUST_0872,2025-04-26 21:17:07.688006,Email,Resolved,AGENT_02,4.398736073541091,False
INT_000044,CUST_0986,2025-01-17 21:17:07.688006,Phone,Resolved,AGENT_16,12.071910438316705,False
INT_000045,CUST_0538,2024-10-27 21:17:07.688006,Email,Resolved,AGENT_07,10.442765663267988,False
INT_000046,CUST_0321,2025-01-26 21:17:07.688006,Chat,Resolved,AGENT_12,32.65477686657972,True
INT_000047,CUST_0354,2024-11-29 21:17:07.688006,Chat,Resolved,AGENT_19,9.399104222731644,False
INT_000048,CUST_0125,2025-05-20 21:17:07.688006,Chat,Resolved,AGENT_20,0.5941336844913109,False
INT_000049,CUST_0444,2025-07-08 21:17:07.688006,Chat,Resolved,AGENT_12,50.394425722114356,False
INT_000050,CUST_0774,2024-11-01 21:17:07.688006,Chat,Resolved,AGENT_20,2.136340720075289,False
INT_000051,CUST_0106,2025-05-12 21:17:07.688006,Email,Resolved,AGENT_19,8.66975146909952,True
INT_000052,CUST_0741,2025-06-22 21:17:07.688006,Email,Resolved,AGENT_12,7.887894666977128,True
INT_000053,CUST_0513,2025-02-20 21:17:07.688006,Email,Resolved,AGENT_16,3.0292826901471477,False
INT_000054,CUST_0897,2025-01-18 21:17:07.688006,Chat,Resolved,AGENT_05,14.190457080561526,False
INT_000055,CUST_0076,2025-05-16 21:17:07.688006,Email,Resolved,AGENT_14,1.444344475583406,True
INT_000056,CUST_0094,2025-02-21 21:17:07.688006,Phone,Resolved,AGENT_16,1.5443537767171989,False
INT_000057,CUST_0551,2025-07-09 21:17:07.688006,Email,Resolved,AGENT_10,44.681868282571195,False
INT_000058,CUST_0180,2025-03-08 21:17:07.688006,Email,Escalated,AGENT_01,11.627644971592519,False
INT_000059,CUST_0016,2025-01-10 21:17:07.688006,Phone,Escalated,AGENT_20,12.851736683663168,False
INT_000060,CUST_0380,2025-09-14 21:17:07.688006,Chat,Resolved,AGENT_05,14.750072770317054,False
INT_000061,CUST_0168,2024-11-21 21:17:07.688006,Email,Resolved,AGENT_12,1.5933800322244531,True
INT_000062,CUST_0499,2025-02-17 21:17:07.688006,Chat,Resolved,AGENT_08,7.301671970400525,False
INT_000063,CUST_0418,2025-06-24 21:17:07.688006,Email,Resolved,AGENT_18,14.870987646498305,False
INT_000064,CUST_0420,2025-03-14 21:17:07.688006,Phone,Resolved,AGENT_10,8.26094305371982,False
INT_000065,CUST_0739,2025-04-23 21:17:07.688006,Chat,Resolved,AGENT_17,22.469317550153807,False
INT_000066,CUST_0190,2025-03-07 21:17:07.688006,Phone,Resolved,AGENT_13,20.200841822532833,False
INT_000067,CUST_0798,2025-01-17 21:17:07.688006,Chat,Resolved,AGENT_13,33.88185771818889,False
